Z [m],B [T]
0.02,0.13
0.022,0.1008
0.024,0.0831
0.026,0.0681
0.028,0.0553
0.03,0.0451
0.032,0.0384
0.034,0.0318
0.036,0.0278
0.038,0.0238
0.04,0.021
0.042,0.0178
0.044,0.0159
0.046,0.014
0.048,0.0125
0.05,0.0111
0.052,0.00996
0.054,0.00893
0.056,0.00771
0.058,0.0073
0.06,0.00657
0.062,0.00603
0.064,0.0055
0.066,0.00501
0.068,0.00464
0.07,0.00426
0.072,0.00395
0.074,0.00365
0.076,0.00341
0.078,0.00313
0.08,0.00293
0.085,0.00246
0.09,0.00211
0.095,0.00182
0.1,0.0016
0.105,0.0014
0.11,0.00125
