Description	
Number of Runs	100
Preset Time	3
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	13	3	12/13/23 03:02:51 PM	
2	900	10	3	12/13/23 03:03:10 PM	
3	900	22	3	12/13/23 03:03:13 PM	
4	900	10	3	12/13/23 03:03:16 PM	
5	900	11	3	12/13/23 03:03:19 PM	
6	900	12	3	12/13/23 03:03:22 PM	
7	900	12	3	12/13/23 03:03:25 PM	
8	900	18	3	12/13/23 03:03:28 PM	
9	900	12	3	12/13/23 03:03:32 PM	
10	900	11	3	12/13/23 03:03:35 PM	
11	900	16	3	12/13/23 03:03:38 PM	
12	900	11	3	12/13/23 03:03:41 PM	
13	900	9	3	12/13/23 03:03:45 PM	
14	900	12	3	12/13/23 03:03:48 PM	
15	900	12	3	12/13/23 03:03:51 PM	
16	900	9	3	12/13/23 03:03:54 PM	
17	900	15	3	12/13/23 03:03:57 PM	
18	900	13	3	12/13/23 03:04:00 PM	
19	900	9	3	12/13/23 03:04:04 PM	
20	900	11	3	12/13/23 03:04:07 PM	
21	900	13	3	12/13/23 03:04:10 PM	
22	900	11	3	12/13/23 03:04:13 PM	
23	900	14	3	12/13/23 03:04:16 PM	
24	900	6	3	12/13/23 03:04:20 PM	
25	900	9	3	12/13/23 03:04:23 PM	
26	900	8	3	12/13/23 03:04:26 PM	
27	900	8	3	12/13/23 03:04:29 PM	
28	900	13	3	12/13/23 03:04:32 PM	
29	900	13	3	12/13/23 03:04:35 PM	
30	900	14	3	12/13/23 03:04:39 PM	
31	900	8	3	12/13/23 03:04:42 PM	
32	900	7	3	12/13/23 03:04:45 PM	
33	900	14	3	12/13/23 03:04:48 PM	
34	900	8	3	12/13/23 03:04:51 PM	
35	900	5	3	12/13/23 03:04:54 PM	
36	900	13	3	12/13/23 03:04:57 PM	
37	900	5	3	12/13/23 03:05:01 PM	
38	900	15	3	12/13/23 03:05:04 PM	
39	900	12	3	12/13/23 03:05:07 PM	
40	900	10	3	12/13/23 03:05:10 PM	
41	900	20	3	12/13/23 03:05:13 PM	
42	900	11	3	12/13/23 03:05:17 PM	
43	900	8	3	12/13/23 03:05:20 PM	
44	900	13	3	12/13/23 03:05:23 PM	
45	900	16	3	12/13/23 03:05:26 PM	
46	900	12	3	12/13/23 03:05:29 PM	
47	900	10	3	12/13/23 03:05:33 PM	
48	900	7	3	12/13/23 03:05:36 PM	
49	900	12	3	12/13/23 03:05:39 PM	
50	900	11	3	12/13/23 03:05:42 PM	
51	900	9	3	12/13/23 03:05:45 PM	
52	900	16	3	12/13/23 03:05:49 PM	
53	900	12	3	12/13/23 03:05:52 PM	
54	900	14	3	12/13/23 03:05:55 PM	
55	900	11	3	12/13/23 03:05:58 PM	
56	900	9	3	12/13/23 03:06:01 PM	
57	900	8	3	12/13/23 03:06:04 PM	
58	900	15	3	12/13/23 03:06:07 PM	
59	900	10	3	12/13/23 03:06:11 PM	
60	900	16	3	12/13/23 03:06:14 PM	
61	900	13	3	12/13/23 03:06:17 PM	
62	900	10	3	12/13/23 03:06:20 PM	
63	900	11	3	12/13/23 03:06:24 PM	
64	900	18	3	12/13/23 03:06:27 PM	
65	900	8	3	12/13/23 03:06:30 PM	
66	900	13	3	12/13/23 03:06:33 PM	
67	900	13	3	12/13/23 03:06:36 PM	
68	900	11	3	12/13/23 03:06:39 PM	
69	900	11	3	12/13/23 03:06:43 PM	
70	900	15	3	12/13/23 03:06:46 PM	
71	900	9	3	12/13/23 03:06:49 PM	
72	900	14	3	12/13/23 03:06:52 PM	
73	900	11	3	12/13/23 03:06:55 PM	
74	900	11	3	12/13/23 03:06:58 PM	
75	900	10	3	12/13/23 03:07:02 PM	
76	900	10	3	12/13/23 03:07:05 PM	
77	900	12	3	12/13/23 03:07:08 PM	
78	900	13	3	12/13/23 03:07:11 PM	
79	900	10	3	12/13/23 03:07:14 PM	
80	900	5	3	12/13/23 03:07:17 PM	
81	900	14	3	12/13/23 03:07:21 PM	
82	900	7	3	12/13/23 03:07:24 PM	
83	900	11	3	12/13/23 03:07:27 PM	
84	900	5	3	12/13/23 03:07:30 PM	
85	900	8	3	12/13/23 03:07:33 PM	
86	900	4	3	12/13/23 03:07:37 PM	
87	900	11	3	12/13/23 03:07:40 PM	
88	900	9	3	12/13/23 03:07:43 PM	
89	900	5	3	12/13/23 03:07:46 PM	
90	900	14	3	12/13/23 03:07:50 PM	
91	900	9	3	12/13/23 03:07:53 PM	
92	900	13	3	12/13/23 03:07:56 PM	
93	900	10	3	12/13/23 03:07:59 PM	
94	900	8	3	12/13/23 03:08:02 PM	
95	900	16	3	12/13/23 03:08:05 PM	
96	900	12	3	12/13/23 03:08:09 PM	
97	900	7	3	12/13/23 03:08:12 PM	
98	900	10	3	12/13/23 03:08:15 PM	
99	900	8	3	12/13/23 03:08:18 PM	
100	900	7	3	12/13/23 03:08:22 PM	
101	900	14	3	12/13/23 03:08:25 PM	
